"business_id","date","ViolationTypeID","risk_category","description"
19,"20180607",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
19,"20160513",103157,"Low Risk","Food safety certificate or food handler card not available"
19,"20160513",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
19,"20160513",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
19,"20171211",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
19,"20171211",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
24,"20171101",103139,"Low Risk","Improper food storage"
24,"20160311",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
24,"20160311",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
31,"20151204",103157,"Low Risk","Food safety certificate or food handler card not available"
45,"20180529",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
45,"20180529",103131,"Moderate Risk","Moderate risk vermin infestation"
45,"20180529",103142,"Low Risk","Unclean nonfood contact surfaces"
45,"20180529",103147,"Low Risk","Inadequate ventilation or lighting"
45,"20180529",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
45,"20170307",103157,"Low Risk","Food safety certificate or food handler card not available"
45,"20170307",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
45,"20170307",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
45,"20170307",103142,"Low Risk","Unclean nonfood contact surfaces"
45,"20170307",103131,"Moderate Risk","Moderate risk vermin infestation"
45,"20170914",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
45,"20170914",103120,"Moderate Risk","Moderate risk food holding temperature "
45,"20170914",103114,"High Risk","High risk vermin infestation"
45,"20170914",103142,"Low Risk","Unclean nonfood contact surfaces"
45,"20160104",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
45,"20160104",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
45,"20160104",103142,"Low Risk","Unclean nonfood contact surfaces"
45,"20160104",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
45,"20160104",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
45,"20160104",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
45,"20160104",103118,"Moderate Risk","Employee eating or smoking"
45,"20160614",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
45,"20160614",103131,"Moderate Risk","Moderate risk vermin infestation"
45,"20160614",103133,"Moderate Risk","Foods not protected from contamination"
45,"20160614",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
45,"20160614",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
48,"20180216",103120,"Moderate Risk","Moderate risk food holding temperature "
48,"20180216",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
54,"20170215",103120,"Moderate Risk","Moderate risk food holding temperature "
54,"20170215",103114,"High Risk","High risk vermin infestation"
54,"20170215",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
56,"20160802",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
56,"20160802",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
56,"20160802",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
56,"20160802",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
56,"20170420",103156,"Low Risk","Permit license or inspection report not posted"
56,"20170518",103129,"Moderate Risk","Insufficient hot water or running water"
56,"20170420",103129,"Moderate Risk","Insufficient hot water or running water"
56,"20170420",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
56,"20151222",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
56,"20151222",103120,"Moderate Risk","Moderate risk food holding temperature "
56,"20151222",103133,"Moderate Risk","Foods not protected from contamination"
56,"20180327",103156,"Low Risk","Permit license or inspection report not posted"
58,"20170918",103105,"High Risk","Improper cooling methods"
58,"20170918",103103,"High Risk","High risk food holding temperature "
58,"20170918",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
58,"20170918",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
58,"20170918",103129,"Moderate Risk","Insufficient hot water or running water"
58,"20170918",103150,"Low Risk","Improper or defective plumbing"
58,"20170918",103139,"Low Risk","Improper food storage"
58,"20160407",103105,"High Risk","Improper cooling methods"
58,"20160407",103103,"High Risk","High risk food holding temperature "
58,"20160407",103109,"High Risk","Unclean or unsanitary food contact surfaces"
58,"20160407",103147,"Low Risk","Inadequate ventilation or lighting"
58,"20160407",103148,"Low Risk","No thermometers or uncalibrated thermometers "
58,"20160407",103161,"Low Risk","Low risk vermin infestation"
61,"20160708",103139,"Low Risk","Improper food storage"
61,"20160708",103150,"Low Risk","Improper or defective plumbing"
61,"20160708",103142,"Low Risk","Unclean nonfood contact surfaces"
61,"20170124",103153,"Low Risk","Inadequate dressing rooms or improper storage of personal items"
61,"20171128",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
61,"20171128",103133,"Moderate Risk","Foods not protected from contamination"
61,"20150827",103133,"Moderate Risk","Foods not protected from contamination"
61,"20150827",103142,"Low Risk","Unclean nonfood contact surfaces"
61,"20150827",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
66,"20180420",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
66,"20170703",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
66,"20170703",103143,"Low Risk","Inadequate warewashing facilities or equipment"
66,"20160322",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
67,"20161019",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
67,"20161019",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
67,"20170804",103139,"Low Risk","Improper food storage"
67,"20170804",103120,"Moderate Risk","Moderate risk food holding temperature "
67,"20170804",103142,"Low Risk","Unclean nonfood contact surfaces"
67,"20170804",103150,"Low Risk","Improper or defective plumbing"
67,"20170804",103147,"Low Risk","Inadequate ventilation or lighting"
67,"20170804",103114,"High Risk","High risk vermin infestation"
67,"20160401",103109,"High Risk","Unclean or unsanitary food contact surfaces"
67,"20160401",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
67,"20160401",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
67,"20160401",103161,"Low Risk","Low risk vermin infestation"
67,"20180220",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
67,"20180220",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
67,"20180220",103131,"Moderate Risk","Moderate risk vermin infestation"
67,"20180220",103120,"Moderate Risk","Moderate risk food holding temperature "
73,"20160927",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
73,"20160927",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
73,"20160927",103131,"Moderate Risk","Moderate risk vermin infestation"
73,"20171129",103150,"Low Risk","Improper or defective plumbing"
73,"20171129",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
73,"20171129",103131,"Moderate Risk","Moderate risk vermin infestation"
73,"20171129",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
73,"20150717",103139,"Low Risk","Improper food storage"
73,"20150717",103103,"High Risk","High risk food holding temperature "
73,"20150717",103161,"Low Risk","Low risk vermin infestation"
73,"20150717",103145,"Low Risk","Improper storage of equipment utensils or linens"
73,"20150717",103138,"Low Risk","Improper storage use or identification of toxic substances"
76,"20161005",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
77,"20161005",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
77,"20161005",103139,"Low Risk","Improper food storage"
77,"20171101",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
77,"20171101",103139,"Low Risk","Improper food storage"
77,"20160311",103103,"High Risk","High risk food holding temperature "
77,"20160311",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
80,"20171204",103162,"Low Risk","Other low risk violation"
80,"20171204",103157,"Low Risk","Food safety certificate or food handler card not available"
80,"20160412",103139,"Low Risk","Improper food storage"
81,"20171205",103162,"Low Risk","Other low risk violation"
88,"20170111",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
88,"20170111",103139,"Low Risk","Improper food storage"
88,"20170111",103142,"Low Risk","Unclean nonfood contact surfaces"
88,"20171016",103107,"High Risk","Improper reheating of food"
88,"20171016",103103,"High Risk","High risk food holding temperature "
88,"20171016",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
88,"20171016",103156,"Low Risk","Permit license or inspection report not posted"
88,"20150824",103156,"Low Risk","Permit license or inspection report not posted"
88,"20150824",103103,"High Risk","High risk food holding temperature "
88,"20150824",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
95,"20180509",103161,"Low Risk","Low risk vermin infestation"
95,"20180509",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
95,"20180509",103142,"Low Risk","Unclean nonfood contact surfaces"
95,"20180509",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
95,"20160718",103142,"Low Risk","Unclean nonfood contact surfaces"
95,"20160718",103131,"Moderate Risk","Moderate risk vermin infestation"
95,"20160718",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
95,"20160718",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
95,"20160718",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
95,"20170307",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
95,"20170307",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
95,"20170307",103143,"Low Risk","Inadequate warewashing facilities or equipment"
95,"20170307",103142,"Low Risk","Unclean nonfood contact surfaces"
95,"20171016",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
95,"20171016",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
95,"20171016",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
95,"20171016",103114,"High Risk","High risk vermin infestation"
95,"20151210",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
95,"20151210",103131,"Moderate Risk","Moderate risk vermin infestation"
95,"20151210",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
95,"20151210",103142,"Low Risk","Unclean nonfood contact surfaces"
98,"20171003",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
98,"20171003",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
98,"20150629",103131,"Moderate Risk","Moderate risk vermin infestation"
98,"20150629",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
98,"20160316",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
99,"20150811",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
99,"20150811",103145,"Low Risk","Improper storage of equipment utensils or linens"
99,"20150811",103147,"Low Risk","Inadequate ventilation or lighting"
99,"20150811",103133,"Moderate Risk","Foods not protected from contamination"
99,"20150811",103132,"Moderate Risk","Improper thawing methods "
99,"20150811",103131,"Moderate Risk","Moderate risk vermin infestation"
99,"20150811",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
99,"20150811",103139,"Low Risk","Improper food storage"
99,"20171207",103177,"Low Risk","Non service animal"
99,"20171207",103155,"Low Risk","Unapproved  living quarters in food facility"
99,"20171207",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
99,"20171207",103131,"Moderate Risk","Moderate risk vermin infestation"
99,"20171207",103133,"Moderate Risk","Foods not protected from contamination"
99,"20171207",103139,"Low Risk","Improper food storage"
101,"20170627",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
101,"20170627",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
101,"20170627",103129,"Moderate Risk","Insufficient hot water or running water"
101,"20160525",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
101,"20180129",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
101,"20180129",103129,"Moderate Risk","Insufficient hot water or running water"
102,"20161103",103142,"Low Risk","Unclean nonfood contact surfaces"
102,"20161103",103109,"High Risk","Unclean or unsanitary food contact surfaces"
102,"20161103",103157,"Low Risk","Food safety certificate or food handler card not available"
102,"20161103",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
102,"20170728",103120,"Moderate Risk","Moderate risk food holding temperature "
102,"20170728",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
102,"20180302",103147,"Low Risk","Inadequate ventilation or lighting"
102,"20180302",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
102,"20180302",103133,"Moderate Risk","Foods not protected from contamination"
102,"20180302",103129,"Moderate Risk","Insufficient hot water or running water"
108,"20170106",103157,"Low Risk","Food safety certificate or food handler card not available"
108,"20170106",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
116,"20170509",103120,"Moderate Risk","Moderate risk food holding temperature "
116,"20160527",103109,"High Risk","Unclean or unsanitary food contact surfaces"
116,"20160527",103150,"Low Risk","Improper or defective plumbing"
116,"20160527",103156,"Low Risk","Permit license or inspection report not posted"
116,"20160527",103105,"High Risk","Improper cooling methods"
116,"20160527",103157,"Low Risk","Food safety certificate or food handler card not available"
116,"20160527",103118,"Moderate Risk","Employee eating or smoking"
121,"20180514",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
121,"20180514",103131,"Moderate Risk","Moderate risk vermin infestation"
121,"20180514",103156,"Low Risk","Permit license or inspection report not posted"
121,"20170418",103150,"Low Risk","Improper or defective plumbing"
121,"20170418",103127,"Moderate Risk","Noncompliance with HAACP plan or variance"
121,"20170418",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
121,"20151020",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
121,"20151020",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
121,"20151020",103138,"Low Risk","Improper storage use or identification of toxic substances"
121,"20151020",103131,"Moderate Risk","Moderate risk vermin infestation"
125,"20170719",103161,"Low Risk","Low risk vermin infestation"
125,"20170719",103150,"Low Risk","Improper or defective plumbing"
125,"20170719",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
125,"20170719",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
125,"20160520",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
125,"20160520",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
125,"20160520",103161,"Low Risk","Low risk vermin infestation"
134,"20180524",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
134,"20180524",103105,"High Risk","Improper cooling methods"
134,"20180524",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
134,"20170214",103112,"High Risk","No hot water or running water"
134,"20150806",103145,"Low Risk","Improper storage of equipment utensils or linens"
140,"20171011",103143,"Low Risk","Inadequate warewashing facilities or equipment"
140,"20171011",103129,"Moderate Risk","Insufficient hot water or running water"
140,"20171011",103109,"High Risk","Unclean or unsanitary food contact surfaces"
140,"20171011",103131,"Moderate Risk","Moderate risk vermin infestation"
140,"20171011",103139,"Low Risk","Improper food storage"
140,"20171011",103120,"Moderate Risk","Moderate risk food holding temperature "
140,"20160414",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
140,"20160414",103156,"Low Risk","Permit license or inspection report not posted"
140,"20160414",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
140,"20160414",103103,"High Risk","High risk food holding temperature "
140,"20180105",103131,"Moderate Risk","Moderate risk vermin infestation"
140,"20180105",103120,"Moderate Risk","Moderate risk food holding temperature "
140,"20180105",103156,"Low Risk","Permit license or inspection report not posted"
140,"20180105",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
146,"20161017",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
146,"20161017",103120,"Moderate Risk","Moderate risk food holding temperature "
146,"20161017",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
146,"20161017",103139,"Low Risk","Improper food storage"
146,"20161017",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
146,"20150723",103103,"High Risk","High risk food holding temperature "
146,"20150723",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
146,"20160407",103120,"Moderate Risk","Moderate risk food holding temperature "
146,"20160407",103133,"Moderate Risk","Foods not protected from contamination"
146,"20160407",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
146,"20160407",103161,"Low Risk","Low risk vermin infestation"
146,"20160407",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
146,"20180315",103120,"Moderate Risk","Moderate risk food holding temperature "
146,"20180315",103102,"High Risk","Unclean hands or improper use of gloves"
146,"20180315",103131,"Moderate Risk","Moderate risk vermin infestation"
146,"20180315",103139,"Low Risk","Improper food storage"
146,"20180315",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
151,"20180514",103120,"Moderate Risk","Moderate risk food holding temperature "
151,"20180514",103102,"High Risk","Unclean hands or improper use of gloves"
151,"20180514",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
151,"20180514",103129,"Moderate Risk","Insufficient hot water or running water"
151,"20180514",103139,"Low Risk","Improper food storage"
151,"20160726",103129,"Moderate Risk","Insufficient hot water or running water"
151,"20160726",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
155,"20170227",103133,"Moderate Risk","Foods not protected from contamination"
155,"20170227",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
155,"20170227",103114,"High Risk","High risk vermin infestation"
155,"20170227",103120,"Moderate Risk","Moderate risk food holding temperature "
155,"20170227",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
155,"20151229",103114,"High Risk","High risk vermin infestation"
164,"20161110",103156,"Low Risk","Permit license or inspection report not posted"
164,"20161110",103117,"Moderate Risk","Discharge from employee nose mouth or eye"
164,"20161110",103103,"High Risk","High risk food holding temperature "
164,"20170908",103120,"Moderate Risk","Moderate risk food holding temperature "
164,"20170908",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
164,"20170908",103143,"Low Risk","Inadequate warewashing facilities or equipment"
164,"20170908",103102,"High Risk","Unclean hands or improper use of gloves"
164,"20151106",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
164,"20151106",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
184,"20161003",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
184,"20180213",103129,"Moderate Risk","Insufficient hot water or running water"
184,"20180213",103157,"Low Risk","Food safety certificate or food handler card not available"
184,"20180213",103131,"Moderate Risk","Moderate risk vermin infestation"
187,"20170210",103120,"Moderate Risk","Moderate risk food holding temperature "
187,"20170210",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
187,"20171128",103120,"Moderate Risk","Moderate risk food holding temperature "
187,"20160511",103120,"Moderate Risk","Moderate risk food holding temperature "
187,"20160511",103107,"High Risk","Improper reheating of food"
192,"20160628",103139,"Low Risk","Improper food storage"
192,"20160628",103120,"Moderate Risk","Moderate risk food holding temperature "
192,"20160628",103131,"Moderate Risk","Moderate risk vermin infestation"
192,"20170626",103109,"High Risk","Unclean or unsanitary food contact surfaces"
192,"20170626",103103,"High Risk","High risk food holding temperature "
192,"20180403",103145,"Low Risk","Improper storage of equipment utensils or linens"
192,"20180403",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
192,"20180403",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
194,"20170919",103131,"Moderate Risk","Moderate risk vermin infestation"
194,"20170919",103145,"Low Risk","Improper storage of equipment utensils or linens"
194,"20170919",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
194,"20170919",103120,"Moderate Risk","Moderate risk food holding temperature "
194,"20170919",103138,"Low Risk","Improper storage use or identification of toxic substances"
194,"20170919",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
198,"20170130",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
198,"20170130",103132,"Moderate Risk","Improper thawing methods "
198,"20171129",103157,"Low Risk","Food safety certificate or food handler card not available"
198,"20171129",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
198,"20151029",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
198,"20151029",103120,"Moderate Risk","Moderate risk food holding temperature "
200,"20170104",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
200,"20170104",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
200,"20170104",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
200,"20170104",103147,"Low Risk","Inadequate ventilation or lighting"
200,"20151001",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
200,"20151001",103120,"Moderate Risk","Moderate risk food holding temperature "
208,"20170731",103120,"Moderate Risk","Moderate risk food holding temperature "
208,"20170731",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
208,"20170731",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
208,"20151007",103161,"Low Risk","Low risk vermin infestation"
208,"20151007",103120,"Moderate Risk","Moderate risk food holding temperature "
208,"20151007",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
216,"20170629",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
216,"20170629",103120,"Moderate Risk","Moderate risk food holding temperature "
217,"20160912",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
217,"20160912",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
217,"20160912",103120,"Moderate Risk","Moderate risk food holding temperature "
217,"20160912",103145,"Low Risk","Improper storage of equipment utensils or linens"
217,"20170330",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
217,"20170330",103142,"Low Risk","Unclean nonfood contact surfaces"
217,"20170330",103131,"Moderate Risk","Moderate risk vermin infestation"
217,"20170925",103103,"High Risk","High risk food holding temperature "
217,"20150818",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
217,"20150818",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
217,"20150818",103145,"Low Risk","Improper storage of equipment utensils or linens"
217,"20160329",103142,"Low Risk","Unclean nonfood contact surfaces"
217,"20160329",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
217,"20160329",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
217,"20180316",103120,"Moderate Risk","Moderate risk food holding temperature "
217,"20180316",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
217,"20180316",103142,"Low Risk","Unclean nonfood contact surfaces"
226,"20160523",103150,"Low Risk","Improper or defective plumbing"
226,"20160523",103109,"High Risk","Unclean or unsanitary food contact surfaces"
226,"20160523",103105,"High Risk","Improper cooling methods"
226,"20160523",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
226,"20180319",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
226,"20180319",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
226,"20180319",103132,"Moderate Risk","Improper thawing methods "
226,"20180319",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
231,"20170601",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
231,"20170601",103131,"Moderate Risk","Moderate risk vermin infestation"
231,"20170601",103139,"Low Risk","Improper food storage"
231,"20160301",103143,"Low Risk","Inadequate warewashing facilities or equipment"
231,"20160301",103139,"Low Risk","Improper food storage"
231,"20160301",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
231,"20160301",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
231,"20160301",103133,"Moderate Risk","Foods not protected from contamination"
236,"20161017",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
236,"20161017",103156,"Low Risk","Permit license or inspection report not posted"
236,"20151214",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
236,"20151214",103131,"Moderate Risk","Moderate risk vermin infestation"
239,"20160525",103132,"Moderate Risk","Improper thawing methods "
239,"20160525",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
239,"20160525",103120,"Moderate Risk","Moderate risk food holding temperature "
239,"20160525",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
239,"20171207",103133,"Moderate Risk","Foods not protected from contamination"
239,"20171207",103157,"Low Risk","Food safety certificate or food handler card not available"
239,"20171207",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
239,"20171207",103120,"Moderate Risk","Moderate risk food holding temperature "
240,"20161004",103150,"Low Risk","Improper or defective plumbing"
240,"20161004",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
240,"20161004",103147,"Low Risk","Inadequate ventilation or lighting"
240,"20161004",103153,"Low Risk","Inadequate dressing rooms or improper storage of personal items"
240,"20161004",103155,"Low Risk","Unapproved  living quarters in food facility"
240,"20161004",103133,"Moderate Risk","Foods not protected from contamination"
240,"20161004",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
240,"20150813",103102,"High Risk","Unclean hands or improper use of gloves"
240,"20150813",103114,"High Risk","High risk vermin infestation"
240,"20150813",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
240,"20150813",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
240,"20150813",103120,"Moderate Risk","Moderate risk food holding temperature "
240,"20150813",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
240,"20150813",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
240,"20150813",103142,"Low Risk","Unclean nonfood contact surfaces"
247,"20161114",103120,"Moderate Risk","Moderate risk food holding temperature "
247,"20161114",103131,"Moderate Risk","Moderate risk vermin infestation"
247,"20161114",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
247,"20161114",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
247,"20161114",103157,"Low Risk","Food safety certificate or food handler card not available"
247,"20160503",103109,"High Risk","Unclean or unsanitary food contact surfaces"
247,"20160503",103120,"Moderate Risk","Moderate risk food holding temperature "
247,"20160503",103139,"Low Risk","Improper food storage"
247,"20160503",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
251,"20160616",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
251,"20180306",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
253,"20160622",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
